Comment,Designator,Footprint,LCSC
4u7F,"C1, C3, C4, C5",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
10uF,C2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
BLM21PG221SZ1D,FB1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C437411
SMD USB TYPE C ,J1,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2927302
4k7,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
2k,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604
5k1,"R3, R4",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
100R,"R5, R6, R7",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C22775
100k,"R11, R12",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
USBLC6-2P6,U1,Package_TO_SOT_SMD:SOT-666,C2827693
ESP32-C3-WROOM-2,U2,PCM_Espressif:ESP32-C3-WROOM-02,C2934560
SK6206P332MR,U3,Package_TO_SOT_SMD:SC-59_Handsoldering,C962716
MCP73831-2-OT,U4,Package_TO_SOT_SMD:SOT-23-5,C424093
