Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",3.356000,14.148000,180.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",3.400000,21.800000,0.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",3.400000,23.800000,0.000000,top
"C4","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.900000,12.200000,0.000000,top
"C5","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.200000,14.300000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",17.834000,4.242000,0.000000,top
"R1","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",4.700000,26.900000,-90.000000,top
"R2","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",9.960000,6.020000,0.000000,top
"R3","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.800000,10.100000,180.000000,top
"R4","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.300000,10.300000,0.000000,top
"R5","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",33.000000,20.000000,180.000000,top
"R6","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",30.400000,26.600000,180.000000,top
"R7","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",30.787500,22.100000,180.000000,top
"R11","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.300000,16.800000,90.000000,top
"R12","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.400000,21.700000,-90.000000,top
"U1","USBLC6-2P6","SOT-666",31.000000,16.900000,0.000000,top
"U2","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",17.950000,20.600000,0.000000,top
"U3","~","SC-59_Handsoldering",3.400000,18.000000,-90.000000,top
"U4","MCP73831-2-OT","SOT-23-5",9.900000,9.957000,0.000000,top
